date of birth,number of people,Date
"1904_02_13",1,1904-02-13
"1904_02_14",1,1904-02-14
"1904_02_15",4,1904-02-15
"1904_02_17",3,1904-02-17
"1904_02_19",2,1904-02-19
"1904_02_20",2,1904-02-20
"1904_02_21",2,1904-02-21
"1904_02_22",1,1904-02-22
"1904_02_23",1,1904-02-23
"1904_02_25",1,1904-02-25
"1904_02_27",1,1904-02-27
"1904_02_28",2,1904-02-28
"1904_02_29",1,1904-02-29
"1904_03_10",1,1904-03-10
"1904_03_11",1,1904-03-11
"1904_03_12",1,1904-03-12
"1904_03_13",1,1904-03-13
"1904_03_14",2,1904-03-14
"1904_03_15",2,1904-03-15
"1904_03_16",1,1904-03-16
"1904_03_19",2,1904-03-19
"1904_03_20",1,1904-03-20
"1904_03_21",1,1904-03-21
"1904_03_22",2,1904-03-22
"1904_03_23",2,1904-03-23
"1904_03_24",1,1904-03-24
"1904_03_27",1,1904-03-27
"1904_03_28",1,1904-03-28
"1904_03_30",1,1904-03-30
"1904_04_01",2,1904-04-01
"1904_04_02",1,1904-04-02
"1904_04_03",3,1904-04-03
"1904_04_04",1,1904-04-04
"1904_04_05",1,1904-04-05
"1904_04_06",1,1904-04-06
"1904_04_07",1,1904-04-07
"1904_04_08",2,1904-04-08
"1904_04_09",2,1904-04-09
"1904_04_10",2,1904-04-10
"1904_04_11",2,1904-04-11
"1904_04_14",2,1904-04-14
"1904_04_15",2,1904-04-15
"1904_04_16",1,1904-04-16
"1904_04_18",1,1904-04-18
"1904_04_20",2,1904-04-20
"1904_04_21",1,1904-04-21
"1904_04_22",1,1904-04-22
"1904_04_26",2,1904-04-26
"1904_04_29",1,1904-04-29
"1904_04_30",2,1904-04-30
"1904_05_01",2,1904-05-01
"1904_05_04",1,1904-05-04
"1904_05_05",2,1904-05-05
"1904_05_07",1,1904-05-07
"1904_05_08",2,1904-05-08
"1904_05_09",1,1904-05-09
"1904_05_10",3,1904-05-10
"1904_05_11",2,1904-05-11
"1904_05_12",1,1904-05-12
"1904_05_13",1,1904-05-13
"1904_05_16",1,1904-05-16
"1904_05_17",1,1904-05-17
"1904_05_18",2,1904-05-18
"1904_05_20",1,1904-05-20
"1904_05_21",2,1904-05-21
"1904_05_23",1,1904-05-23
"1904_05_24",4,1904-05-24
"1904_05_25",3,1904-05-25
"1904_05_27",2,1904-05-27
"1904_05_28",1,1904-05-28
"1904_05_31",2,1904-05-31
"1904_06_01",1,1904-06-01
"1904_06_02",2,1904-06-02
"1904_06_04",1,1904-06-04
"1904_06_06",6,1904-06-06
"1904_06_07",2,1904-06-07
"1904_06_08",1,1904-06-08
"1904_06_09",1,1904-06-09
"1904_06_10",2,1904-06-10
"1904_06_12",1,1904-06-12
"1904_06_15",1,1904-06-15
"1904_06_18",2,1904-06-18
"1904_06_21",2,1904-06-21
"1904_06_22",1,1904-06-22
"1904_06_24",2,1904-06-24
"1904_06_25",2,1904-06-25
"1904_06_27",1,1904-06-27
"1904_06_28",1,1904-06-28
"1904_07_02",2,1904-07-02
"1904_07_03",2,1904-07-03
"1904_07_04",1,1904-07-04
"1904_07_08",2,1904-07-08
"1904_07_09",1,1904-07-09
"1904_07_11",2,1904-07-11
"1904_07_12",2,1904-07-12
"1904_07_13",4,1904-07-13
"1904_07_15",1,1904-07-15
"1904_07_16",2,1904-07-16
"1904_07_17",1,1904-07-17
"1904_07_18",1,1904-07-18
"1904_07_19",3,1904-07-19
"1904_07_20",2,1904-07-20
"1904_07_21",2,1904-07-21
"1904_07_22",1,1904-07-22
"1904_07_24",2,1904-07-24
"1904_07_28",1,1904-07-28
"1904_07_30",1,1904-07-30
"1904_07_31",2,1904-07-31
"1904_08_01",3,1904-08-01
"1904_08_03",2,1904-08-03
"1904_08_05",1,1904-08-05
"1904_08_06",2,1904-08-06
"1904_08_07",2,1904-08-07
"1904_08_08",1,1904-08-08
"1904_08_10",1,1904-08-10
"1904_08_12",1,1904-08-12
"1904_08_14",2,1904-08-14
"1904_08_15",1,1904-08-15
"1904_08_16",1,1904-08-16
"1904_08_18",1,1904-08-18
"1904_08_19",1,1904-08-19
"1904_08_21",2,1904-08-21
"1904_08_22",1,1904-08-22
"1904_08_23",1,1904-08-23
"1904_08_24",3,1904-08-24
"1904_08_26",1,1904-08-26
"1904_08_27",3,1904-08-27
"1904_08_30",1,1904-08-30
"1904_09_04",3,1904-09-04
"1904_09_05",2,1904-09-05
"1904_09_06",1,1904-09-06
"1904_09_07",1,1904-09-07
"1904_09_10",1,1904-09-10
"1904_09_12",2,1904-09-12
"1904_09_14",1,1904-09-14
"1904_09_16",2,1904-09-16
"1904_09_17",1,1904-09-17
"1904_09_18",2,1904-09-18
"1904_09_19",2,1904-09-19
"1904_09_20",1,1904-09-20
"1904_09_21",1,1904-09-21
"1904_09_22",3,1904-09-22
"1904_09_25",2,1904-09-25
"1904_09_28",1,1904-09-28
"1904_09_29",1,1904-09-29
"1904_09_30",2,1904-09-30
"1904_10_01",2,1904-10-01
"1904_10_02",1,1904-10-02
"1904_10_03",1,1904-10-03
"1904_10_05",1,1904-10-05
"1904_10_07",1,1904-10-07
"1904_10_10",1,1904-10-10
"1904_10_12",1,1904-10-12
"1904_10_14",2,1904-10-14
"1904_10_15",1,1904-10-15
"1904_10_16",2,1904-10-16
"1904_10_17",1,1904-10-17
"1904_10_19",2,1904-10-19
"1904_10_20",2,1904-10-20
"1904_10_21",1,1904-10-21
"1904_10_22",1,1904-10-22
"1904_10_23",2,1904-10-23
"1904_10_25",2,1904-10-25
"1904_10_28",1,1904-10-28
"1904_10_30",1,1904-10-30
"1904_11_03",1,1904-11-03
"1904_11_05",1,1904-11-05
"1904_11_06",1,1904-11-06
"1904_11_07",2,1904-11-07
"1904_11_10",1,1904-11-10
"1904_11_12",1,1904-11-12
"1904_11_14",1,1904-11-14
"1904_11_15",3,1904-11-15
"1904_11_17",1,1904-11-17
"1904_11_19",2,1904-11-19
"1904_11_20",1,1904-11-20
"1904_11_21",1,1904-11-21
"1904_11_22",1,1904-11-22
"1904_11_24",1,1904-11-24
"1904_11_25",2,1904-11-25
"1904_11_26",1,1904-11-26
"1904_11_27",2,1904-11-27
"1904_11_30",1,1904-11-30
"1904_12_02",3,1904-12-02
"1904_12_03",2,1904-12-03
"1904_12_04",5,1904-12-04
"1904_12_06",2,1904-12-06
"1904_12_07",2,1904-12-07
"1904_12_08",2,1904-12-08
"1904_12_09",3,1904-12-09
"1904_12_10",4,1904-12-10
"1904_12_11",3,1904-12-11
"1904_12_12",2,1904-12-12
"1904_12_13",1,1904-12-13
"1904_12_16",2,1904-12-16
"1904_12_17",2,1904-12-17
"1904_12_18",1,1904-12-18
"1904_12_19",2,1904-12-19
"1904_12_20",3,1904-12-20
"1904_12_21",2,1904-12-21
"1904_12_24",1,1904-12-24
"1904_12_25",2,1904-12-25
"1904_12_26",1,1904-12-26
"1904_12_27",1,1904-12-27
"1904_12_28",1,1904-12-28
"1904_12_29",2,1904-12-29
"1904_12_30",2,1904-12-30
"1904_12_31",1,1904-12-31
"1905_01_01",10,1905-01-01
"1905_01_02",2,1905-01-02
"1905_01_03",2,1905-01-03
"1905_01_04",1,1905-01-04
"1905_01_05",2,1905-01-05
"1905_01_07",2,1905-01-07
"1905_01_08",2,1905-01-08
"1905_01_09",3,1905-01-09
"1905_01_10",1,1905-01-10
"1905_01_11",1,1905-01-11
"1905_01_13",2,1905-01-13
"1905_01_14",1,1905-01-14
"1905_01_15",4,1905-01-15
"1905_01_17",2,1905-01-17
"1905_01_19",2,1905-01-19
"1905_01_20",2,1905-01-20
"1905_01_22",2,1905-01-22
"1905_01_23",1,1905-01-23
"1905_01_24",1,1905-01-24
"1905_01_26",2,1905-01-26
"1905_01_28",1,1905-01-28
"1905_01_29",1,1905-01-29
